Movie,Runtime,TotalPauseTime,PauseToRuntimeRatio,MeanPauseLength,MedianPauseLength,PauseStDev,NumPausesAboveMean
totoro.srt,5202,2676,0.5144175317185697,2.5293005671077506,0.0,5.640574029781815,255
Grave of the Fireflies (1988) 720p BRRiP x264 AAC [Team Nanban].srt,5160,3571,0.6920542635658915,6.052542372881356,1.0,15.029307598953919,124
coco.srt,5761,2476,0.42978649540010416,2.132644272179156,1,4.975073451379838,220
(eng)When Marnie Was There 2014 1080p BRRip x264 AC3-JYK.srt,6152,3691,0.5999674902470741,3.446311858076564,1,7.925863432538551,202
When.Marnie.Was.There.2014.m720p.Bluray.AC3.x264-4ko .srt,5890,3514,0.59660441426146,3.3371320037986703,1,7.284894923617483,199
When.Marnie.Was.There.2014.1080p.BRRip.x264.AC3.JYK.srt,6152,3696,0.6007802340702211,3.4477611940298507,1.0,7.968956729728516,204
yamadas.srt,5967,3363,0.5635997988939165,3.137126865671642,1.0,8.211083258783596,228
yamada.srt,5925,3331,0.5621940928270042,3.1130841121495325,1.0,8.153997041195788,230
yamadas.srt,5925,3336,0.5630379746835443,3.1177570093457945,1.0,8.182504472088928,226
pompoko.srt,6997,2740,0.39159639845648136,2.486388384754991,1.0,8.196236250260972,182
Pom.Poko.1994.1080p.BluRay.x264.anoXmous_eng.srt,7165,2816,0.39302163293789255,2.333057166528583,0,8.106060577869242,188
pompoko.srt,7165,2816,0.39302163293789255,2.333057166528583,0,8.106060577869242,188
pompoko.srt,6663,2493,0.37415578568212515,1.8915022761760243,0.0,7.1826948042566725,261
The Borrower Arrietty.2010.BDRip.AC3.x264-LooKMaNe.ENG.srt,5643,4288,0.7598794967216019,7.853479853479853,1.0,21.373321207244178,102
The.Secret.World.of.Arrietty.2010.720p.BluRay.x264-iNFAMOUS.srt,5680,3915,0.6892605633802817,5.2479892761394105,1.0,16.61280827061236,135
Arrietty.2010.1080p.BrRip.x264.bitloks.YIFY.srt,5648,4274,0.7567280453257791,7.929499072356215,1,21.572878167393082,107
thecatreturns.srt,4498,2282,0.5073365940417963,2.2220058422590068,0,6.675095743519416,209
thecatreturns.srt,4277,2100,0.4909983633387889,2.595797280593325,0,6.388303989310784,183
Porco.Rosso.1992.1080p.BRRip.x264.PLAYNOW.srt,5596,3011,0.5380629020729092,3.1234439834024896,1.0,8.272256561852029,186
Porco.Rosso.DVD(xvid.ac3).KAA.5693E1F0.srt,5588,1776,0.3178239083750895,2.139759036144578,0.0,7.771758277321709,121
porco.rosso.sbc.ac3.2ch.cd1-dmz.srt,2917,1757,0.6023311621528968,3.0663176265270504,1,8.116447077673289,99
porco.rosso.sbc.ac3.2ch.cd2-dmz.srt,2614,1596,0.6105585309869931,3.3459119496855347,1,12.071210675002657,89
My.Neighbor.Totoro.1988.Dual-audio.DVDRip.iNT-SMoR.srt,5006,3596,0.718337994406712,5.166666666666667,1.0,17.55364508116453,141
My.Neighbor.Totoro.1988.m720p.BluRay.x264-BiRD.srt,5180,3657,0.705984555984556,6.219387755102041,1.0,18.43727332512602,127
My Neighbor Totoro_(1988)_BRRip_720p_KrazyKarvs.srt,5180,3661,0.7067567567567568,6.23679727427598,1,18.456575970395544,127
thewindrises.srt,7582,4854,0.6402004748087576,4.791707798617966,1,15.761408138469715,180
thewindrises.srt,7582,4943,0.6519388024268004,4.874753451676528,1.0,15.747861970816494,183
thewindrises.srt,7582,4944,0.6520706937483514,4.866141732283465,1.0,15.733550962426802,183
Tales.from.Earthsea.2006.720p.BluRay.x264-TheWretched.srt,6926,4071,0.587785157377996,4.099697885196375,1,11.328450922869395,190
talesfromearthsea.srt,6925,4128,0.596101083032491,4.157099697885196,1,11.313864088454753,191
Kiki's Delivery Service_eng.srt,6173,3857,0.6248177547383768,4.017708333333333,1.0,10.186104489440256,199
Kikis.Delivery.Service.1989.JPN.Bluray.english.srt,6179,3857,0.6242110373846901,4.009355509355509,1.0,10.175510572008513,199
Only.Yesterday.1991.BRRip.XviD.MP3 EN.srt,7068,3187,0.4509054895302773,2.3944402704733285,1,6.523175506624568,254
Kokuriko-zaka.Kara.2011.REPACK.DVDRip.AC3.HORiZON-ArtSubs.srt,5447,3218,0.5907839177528915,3.826397146254459,1,8.559362319327045,194
From.Up.on.Poppy.Hill.2011.720p.BluRay.x264-NODLABS.srt,5447,3218,0.5907839177528915,3.826397146254459,1,8.559362319327045,194
From.Kokuriko.Hill.2011.720p.BluRay.x264.DTS-WiKi.eng.srt,5447,3218,0.5907839177528915,3.821852731591449,1.0,8.555288322175436,194
Spirited.Away.2001.1080p.BluRay.X264-AMIABLE.srt,7466,4694,0.6287168497187249,4.294602012808783,0,13.562943014552678,202
Spirited.Away.2001.1080p.BluRay.X264-AMIABLE.en.srt,7469,4889,0.6545722318918196,4.481209899175068,1,13.574881174499225,206
Ponyo.2008.1080p.BluRay.x264-MUVI.eng.srt,5968,3710,0.6216487935656837,4.2594718714121695,0,14.143084876917841,177
Ponyo.2008.BluRay.1080p.DTS.5.1.x264.dxva-FraMeSToR.srt,6078,4155,0.6836130306021717,5.762829403606102,1,16.847042430350292,173
santi-potc.brrip.xvid.srt,6042,4112,0.680569347898047,4.984242424242424,1,14.422911719393937,204
Princess.Mononoke.1997.720p.BluRay.x264.DTS-WiKi.en.srt,8000,5096,0.637,4.72289156626506,1,11.319780271600775,255
Kaguyahime.no.monogatari.2013.23.976.fps.En.srt,8222,4578,0.5567988324008757,3.5877742946708464,1.0,10.386234074872219,241
The.Tale.of.The.Princess.Kaguya.2013.720p.BluRay.x264.AAC.Ozlem.srt,8222,5218,0.6346387740209195,4.108661417322835,1.0,20.870628645317705,199
Howl's.Moving.Castle.2004.BluRay.720p.x264.3Audio-HDChina.en.srt,7145,4620,0.6466060181945417,4.110320284697509,1.0,10.399770541885164,217
Howls.Moving.Castle.2004.JAPANESE.AND.ENGLISH.1080p.BluRay.x264.DTS-ES.5.1-FGT.en.srt,7146,4396,0.6151693254967814,3.7896551724137932,1.0,9.935628703872528,244
Laputa.Castle.in.the.Sky.1986.BluRay.720p.DTS.4Audio.x264-CHD.srt,7456,4885,0.6551770386266095,4.733527131782946,1.0,12.189010965751917,256
Whisper.of.the.Heart.1995.Bluray.720p.3Audio-HDChina.srt,6647,3578,0.5382879494508801,3.297695852534562,1,8.496735005642902,204
Whisper.of.the.Heart.1995.720p.BluRay.x264.DTS-WiKi.eng.srt,6647,3657,0.5501730103806228,3.230565371024735,1.0,8.340500318845814,207
Whisper.of.the.Heart.1995.Bluray.english.srt,6647,3657,0.5501730103806228,3.230565371024735,1.0,8.340500318845814,207
